OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__pseudolongum	17.0	13.0	18.0	7.0	19.0	6.0	2.0	20.0	57.0	24.0	15.0	0.0	3.0	14.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus	142.0	188.0	198.0	107.0	128.0	349.0	187.0	521.0	486.0	436.0	180.0	125.0	338.0	419.0	138.0	464.0	488.0	517.0	587.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	156.0	285.0	72.0	67.0	34.0	99.0	58.0	59.0	434.0	448.0	104.0	162.0	1015.0	317.0	175.0	208.0	176.0	258.0	381.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	20.0	32.0	0.0	8.0	25.0	21.0	7.0	89.0	52.0	73.0	9.0	25.0	18.0	72.0	6.0	15.0	15.0	61.0	15.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	0.0	32.0	0.0	18.0	63.0	71.0	35.0	117.0	95.0	97.0	13.0	25.0	14.0	41.0	17.0	13.0	4.0	6.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius	42.0	10.0	89.0	34.0	13.0	17.0	4.0	129.0	17.0	75.0	52.0	108.0	284.0	88.0	44.0	362.0	95.0	125.0	168.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__	72.0	94.0	49.0	40.0	110.0	114.0	30.0	289.0	240.0	154.0	28.0	0.0	15.0	19.0	31.0	0.0	0.0	6.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__	270.0	125.0	66.0	65.0	80.0	80.0	231.0	294.0	284.0	298.0	181.0	393.0	943.0	52.0	320.0	200.0	87.0	256.0	407.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__	415.0	148.0	43.0	27.0	61.0	78.0	145.0	266.0	181.0	272.0	162.0	603.0	1012.0	139.0	279.0	358.0	136.0	333.0	483.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__	5.0	0.0	3.0	0.0	3.0	5.0	0.0	5.0	4.0	6.0	6.0	0.0	5.0	0.0	0.0	2.0	0.0	3.0	0.0
